1	так	так	ADV	_	Degree=Pos	_	_	_	@ap1990f-words#@ap1990f#107.0#107.369
2	дебильно	дебильно	ADV	_	Degree=Pos	_	_	_	@ap1990f-words#@ap1990f#107.369#107.738
3	/	/	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#107.738#108.107
4	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@ap1990f-words#@ap1990f#108.107#108.476
5	просто	просто	ADV	_	Degree=Pos	_	_	_	@ap1990f-words#@ap1990f#108.476#108.845
6	смотрю	смотреть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ap1990f-words#@ap1990f#108.845#109.214
7	и	и	CCONJ	_	_	_	_	_	@ap1990f-words#@ap1990f#109.214#109.583
8	думаю	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ap1990f-words#@ap1990f#109.583#109.952
9	/	/	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#109.952#110.321
10	что	что	PRON	_	Case=Nom	_	_	_	@ap1990f-words#@ap1990f#110.321#110.69
11	происходит	происходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ap1990f-words#@ap1990f#110.69#111.059
12	?	?	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#111.059#111.428
13	/	/	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#111.428#111.797
14	потому	потому	ADV	_	Degree=Pos	_	_	_	@ap1990f-words#@ap1990f#111.797#112.166
15	что	что	SCONJ	_	_	_	_	_	@ap1990f-words#@ap1990f#112.166#112.535
16	там	там	ADV	_	Degree=Pos	_	_	_	@ap1990f-words#@ap1990f#112.535#112.904
17	еще	еще	ADV	_	Degree=Pos	_	_	_	@ap1990f-words#@ap1990f#112.904#113.273
18	эти	этот	DET	_	Case=Nom|Number=Plur	_	_	_	@ap1990f-words#@ap1990f#113.273#113.642
19	цепляющие	цепляющий	ADJ	_	Animacy=Anim|Case=Nom|Degree=Pos|Number=Plur	_	_	_	@ap1990f-words#@ap1990f#113.642#114.011
20	собачки	собачка	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@ap1990f-words#@ap1990f#114.011#114.38
21	и	и	CCONJ	_	_	_	_	_	@ap1990f-words#@ap1990f#114.38#114.749
22	лягушечки	лягушечка	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@ap1990f-words#@ap1990f#114.749#115.118
23	на	на	ADP	_	_	_	_	_	@ap1990f-words#@ap1990f#115.118#115.487
24	заднем	задний	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ap1990f-words#@ap1990f#115.487#115.856
25	плане	план	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@ap1990f-words#@ap1990f#115.856#116.225
26	/	/	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#116.225#116.594
27	и	и	CCONJ	_	_	_	_	_	@ap1990f-words#@ap1990f#116.594#116.963
28	[нрзб]	[нрзб]	X	_	_	_	_	_	@ap1990f-words#@ap1990f#116.963#117.358
29	да	да	PART	_	_	_	_	_	@ap1990f-words#@ap1990f#119.326#119.558
30	/	/	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#119.558#119.79
31	такое	такой	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@ap1990f-words#@ap1990f#119.79#120.022
32	ощущение	ощущение	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@ap1990f-words#@ap1990f#120.022#120.254
33	что	что	PRON	_	Case=Nom	_	_	_	@ap1990f-words#@ap1990f#120.254#120.49
34	а	а	CCONJ	_	_	_	_	_	@ap1990f-words#@ap1990f#136.41#136.581
35	кто	кто	PRON	_	Case=Nom	_	_	_	@ap1990f-words#@ap1990f#136.581#136.752
36	у	у	ADP	_	_	_	_	_	@ap1990f-words#@ap1990f#136.752#136.923
37	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	_	_	@ap1990f-words#@ap1990f#136.923#137.094
38	тут	тут	ADV	_	Degree=Pos	_	_	_	@ap1990f-words#@ap1990f#137.094#137.265
39	?	?	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#137.265#137.44
40	здесь	здесь	ADV	_	Degree=Pos	_	_	_	@ap1990f-words#@ap1990f#137.935#138.713
41	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ap1990f-words#@ap1990f#138.713#139.491
42	петушок	петушок	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@ap1990f-words#@ap1990f#139.491#140.269
43	/	/	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#140.269#141.047
44	лягушечки	лягушечка	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@ap1990f-words#@ap1990f#141.047#141.829
45	а	а	CCONJ	_	_	_	_	_	@ap1990f-words#@ap1990f#145.202#145.476
46	почему	почему	ADV	_	Degree=Pos	_	_	_	@ap1990f-words#@ap1990f#145.476#145.75
47	кошки	кошка	NOUN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@ap1990f-words#@ap1990f#145.75#146.024
48	нету	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ap1990f-words#@ap1990f#146.024#146.298
49	?	?	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#146.298#146.572
50	/	/	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#146.572#146.846
51	лошадки	лошадка	NOUN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@ap1990f-words#@ap1990f#146.846#147.12
52	нету	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ap1990f-words#@ap1990f#147.12#147.394
53	поч...	почему	ADV	_	Degree=Pos	_	_	_	@ap1990f-words#@ap1990f#147.394#147.673
54	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	@ap1990f-words#@ap1990f#151.996#152.285
55	встретились	встретиться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@ap1990f-words#@ap1990f#152.285#152.574
56	с	с	ADP	_	_	_	_	_	@ap1990f-words#@ap1990f#152.574#152.863
57	ильичом	ильич	PROPN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@ap1990f-words#@ap1990f#152.863#153.152
58	месяца	месяц	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@ap1990f-words#@ap1990f#153.152#153.441
59	два	два	NUM	_	Animacy=Inan|Case=Nom|Gender=Masc	_	_	_	@ap1990f-words#@ap1990f#153.441#153.73
60	до	до	ADP	_	_	_	_	_	@ap1990f-words#@ap1990f#153.73#154.019
61	клипа	клип	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@ap1990f-words#@ap1990f#154.019#154.308
62	/	/	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#154.308#154.597
63	и	и	CCONJ	_	_	_	_	_	@ap1990f-words#@ap1990f#154.597#154.886
64	стали	стать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@ap1990f-words#@ap1990f#154.886#155.175
65	/	/	PUNCT	_	_	_	_	_	@ap1990f-words#@ap1990f#155.175#155.464
